movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,movie_facebook_likes,imdb_score
20 Feet from Stardom ,149,91,9,130,9540,198,80,1000000,19,14000,7.4
"20,000 Leagues Under the Sea ",69,127,130,617,22123,799,108,5000000,53,0,7.2
"20,000 Leagues Under the Sea ",69,127,130,618,22124,800,108,5000000,53,0,7.2
200 Cigarettes ,67,101,112,1000,13010,2697,182,6000000,744,0,5.9
2001: A Space Odyssey ,285,161,0,273,427357,727,1736,12000000,117,24000,8.3
2016: Obama's America ,30,87,67,871,9010,1111,199,2500000,118,0,5.1
21 & Over ,168,93,24,552,60407,2730,84,13000000,528,11000,5.9
21 Grams ,192,124,0,6000,189683,7567,559,20000000,979,0,7.7
21 Jump Street ,375,109,97,17000,408302,19968,345,42000000,971,39000,7.2
22 Jump Street ,330,112,97,17000,258186,19428,322,50000000,920,24000,7.1
25th Hour ,202,108,0,22000,149528,26050,454,15000000,3000,0,7.7
27 Dresses ,175,111,98,2000,124501,2978,154,30000000,805,0,6.1
28 Days ,116,103,84,12000,34597,23864,194,43000000,10000,0,6.0
28 Days Later... ,224,113,0,133,297250,241,1441,8000000,32,11000,7.6
28 Weeks Later ,274,100,35,10000,212167,11471,713,15000000,1000,0,7.0
3 Backyards ,20,88,5,795,554,1884,23,300000,659,92,5.2
3 Days to Kill ,211,123,368,933,69355,1286,211,28000000,194,10000,6.2
3 Men and a Baby ,21,102,12000,19000,36918,21499,42,11000000,875,3000,5.9
3 Ninjas Kick Back ,5,93,18,400,6701,1151,26,20000000,220,444,4.3
3 Strikes ,22,82,69,939,1415,3354,10,6000000,706,118,4.0
3:10 to Yuma ,295,122,446,23000,237872,33548,560,55000000,8000,0,7.8
30 Days of Night ,304,113,171,430,138435,814,527,32000000,72,0,6.6
30 Minutes or Less ,220,83,181,731,77935,1987,122,28000000,579,0,6.1
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,29,80,19,319,2978,845,13,3000000,302,2000,2.6
300: Rise of an Empire ,366,102,263,6000,225273,10583,523,110000000,1000,71000,6.2
3000 Miles to Graceland ,113,125,11,11000,38076,14536,399,42000000,904,0,5.9
"4 Months, 3 Weeks and 2 Days ",233,113,163,131,44763,264,172,590000,60,14000,7.9
40 Days and 40 Nights ,140,96,36,1000,62272,3294,207,17000000,580,2000,5.6
42nd Street ,65,89,24,610,7921,995,97,439000,105,439,7.7
47 Ronin ,218,128,47,18000,116994,20965,324,175000000,1000,35000,6.3
5 Days of War ,74,113,212,567,12128,708,61,20000000,111,0,5.6
50 First Dates ,147,99,88,11000,266103,12952,456,75000000,427,11000,6.8
50/50 ,327,100,129,23000,270441,39807,378,8000000,10000,40000,7.7
500 Days of Summer ,331,95,464,23000,376600,54075,494,7500000,17000,40000,7.7
55 Days at Peking ,15,154,117,715,4550,1567,50,9000000,490,419,6.8
8 Heads in a Duffel Bag ,30,95,45,578,8005,1363,49,3000000,341,417,5.3
8 Mile ,119,110,161,1000,187181,1954,564,41000000,418,0,7.0
8 Women ,128,111,341,963,23660,3543,162,8000000,678,0,7.1
8: The Mormon Proposition ,28,80,0,191,1138,210,30,2500000,12,0,7.1
88 Minutes ,158,108,50,14000,65628,16722,262,30000000,975,0,5.9
8MM ,138,123,541,12000,104564,12970,587,40000000,638,0,6.5
90 Minutes in Heaven ,12,121,35,4000,2047,6617,29,5000000,849,0,4.6
9½ Weeks ,38,112,213,567,29591,711,118,17000000,67,0,5.9
A Beautiful Mind ,205,135,2000,1000,610568,2827,1171,58000000,592,29000,8.2
A Better Life ,94,98,129,749,13174,2214,81,10000000,252,0,7.2
A Bridge Too Far ,56,175,0,385,40277,669,210,26000000,232,0,7.4
A Bug's Life ,117,95,487,18000,211226,24205,317,120000000,1000,0,7.2
A Charlie Brown Christmas ,43,25,36,39,21826,139,126,150000,36,0,8.4
A Christmas Carol ,240,96,0,18000,72809,48878,249,200000000,14000,0,6.8
A Christmas Story ,109,94,84,662,104908,2076,458,4000000,577,18000,8.1
A Cinderella Story ,69,95,15,1000,62861,3092,232,20000000,852,0,5.9
A Civil Action ,110,115,234,3000,23302,4713,181,60000000,552,1000,6.5
A Dangerous Method ,345,99,0,13000,80617,23755,190,15000000,10000,36000,6.5
A Dog of Flanders ,25,100,0,655,781,1906,20,7000000,476,157,6.3
A Dog's Breakfast ,8,88,686,847,3262,2364,46,120000,686,377,7.0
A Dog's Breakfast ,8,88,686,847,3262,2364,46,120000,686,377,7.0
A Farewell to Arms ,42,79,57,998,3519,1284,46,800000,164,213,6.6
A Few Good Men ,81,138,0,10000,181879,14619,319,40000000,2000,0,7.6
A Fine Step ,1,111,0,657,207,2677,1,1000000,608,212,5.3
A Fistful of Dollars ,122,99,0,16000,147566,16534,235,200000,360,0,8.0
A Funny Thing Happened on the Way to the Forum ,25,99,44,907,6804,1807,72,2000000,164,805,7.0
A Good Day to Die Hard ,412,101,212,13000,165618,15481,503,92000000,787,66000,5.3
A Good Year ,147,117,0,883,70698,3611,196,35000000,883,9000,6.9
A Guy Named Joe ,9,122,149,760,1553,2555,27,2627000,675,116,7.0
A Guy Thing ,81,101,13,651,14147,2698,92,20000000,555,401,5.6
A Hard Day's Night ,105,87,44,785,31429,2538,219,560000,725,0,7.7
A Haunted House ,129,86,89,713,34620,3421,107,2500000,584,0,5.1
A Haunted House 2 ,69,86,89,986,14621,4073,48,4000000,713,0,4.7
A History of Violence ,441,96,0,10000,186606,12754,1125,32000000,917,0,7.5
A Home at the End of the World ,84,97,15,18000,12049,21107,135,6500000,986,1000,6.8
A Knight's Tale ,167,144,241,13000,137003,18761,658,65000000,3000,0,6.9
A League of Their Own ,41,128,545,15000,71754,16751,166,40000000,923,0,7.2
A Lego Brickumentary ,43,93,0,20,1220,28,11,1000000,8,0,6.8
A Lonely Place to Die ,135,99,7,762,22220,2631,97,4000000,706,0,6.3
A Lot Like Love ,112,107,13,618,58297,1095,161,30000000,172,0,6.6
A Low Down Dirty Shame ,8,100,322,851,3924,3190,26,10000000,543,368,5.8
A Madea Christmas ,24,100,0,975,4265,3202,27,25000000,521,0,4.7
A Man Apart ,110,109,473,14000,38348,16611,135,36000000,919,0,6.1
A Man for All Seasons ,62,120,160,559,23713,1238,167,2000000,269,2000,7.9
A Mighty Heart ,190,108,187,11000,24150,12178,118,16000000,883,923,6.7
A Million Ways to Die in the West ,303,136,3000,14000,136093,28927,416,40000000,9000,24000,6.1
A Monster in Paris ,63,90,10,1000,15790,3243,40,25000000,559,0,6.8
A Most Violent Year ,350,125,78,1000,45799,3979,180,20000000,969,0,7.0
A Most Wanted Man ,291,122,210,22000,57210,22574,158,15000000,164,13000,6.8
A Night at the Roxbury ,63,82,12,8000,48458,9271,239,17000000,357,0,6.2
A Nightmare on Elm Street ,256,101,0,40000,149285,42918,668,1800000,852,10000,7.5
A Nightmare on Elm Street ,256,101,0,40000,149293,42918,668,1800000,852,10000,7.5
A Nightmare on Elm Street 2: Freddy's Revenge ,138,87,28,426,43485,1472,327,2200000,359,0,5.4
A Nightmare on Elm Street 3: Dream Warriors ,131,88,55,506,49820,1584,311,4500000,449,0,6.6
A Nightmare on Elm Street 4: The Dream Master ,102,99,212,130,36108,450,260,7000000,125,0,5.7
A Nightmare on Elm Street 5: The Dream Child ,88,89,81,321,29659,584,227,8000000,101,1000,5.1
A Passage to India ,52,164,767,358,12980,1334,89,16000000,223,845,7.4
A Perfect Getaway ,160,108,123,26000,56338,41359,215,14000000,14000,4000,6.5
A Perfect Plan ,58,104,8,172,5525,210,11,17000000,20,853,6.3
A Plague So Pleasant ,13,76,0,0,38,0,3,1400,0,16,6.3
A Prairie Home Companion ,211,105,500,11000,19655,12946,280,10000000,912,683,6.8
A Room with a View ,55,117,133,687,29610,1665,94,3000000,443,0,7.4
A Scanner Darkly ,232,100,0,21000,89383,39507,293,8700000,18000,0,7.1
A Separation ,354,123,0,786,151812,2501,264,500000,712,48000,8.4
A Serious Man ,341,106,1000,816,102125,1120,324,7000000,105,10000,7.0
A Shine of Rainbows ,37,101,24,933,1696,1940,19,6000000,767,1000,7.2
A Simple Plan ,125,121,0,989,50656,2365,416,17000000,888,0,7.5
A Simple Wish ,21,89,23,1000,4288,5535,21,28000000,937,517,5.4
A Single Man ,281,99,192,14000,83182,14816,247,7000000,343,16000,7.6
A Sound of Thunder ,113,102,0,1000,16474,1890,301,52000000,307,785,4.2
A Streetcar Named Desire ,94,125,603,10000,78454,10570,233,1800000,416,5000,8.0
A Tale of Three Cities ,6,130,3,215,117,244,6,12000000,27,4,6.2
A Thin Line Between Love and Hate ,11,108,0,585,3122,3023,14,8000000,434,559,5.6
A Thousand Words ,70,91,48,61,30842,222,93,40000000,46,0,5.9
A Time to Kill ,71,149,541,18000,99558,31349,236,40000000,11000,0,7.4
A Very Harold & Kumar 3D Christmas ,161,90,12,786,55008,2462,93,19000000,651,21000,6.3
A Very Long Engagement ,186,133,0,226,62607,405,239,47000000,52,0,7.7
A View to a Kill ,108,131,46,1000,68565,2943,300,30000000,439,0,6.3
A Walk Among the Tombstones ,253,114,71,14000,87950,15428,207,28000000,439,15000,6.5
A Walk on the Moon ,47,107,956,10000,6782,10368,114,14000000,233,860,6.6
A Walk to Remember ,80,101,163,683,162701,2436,962,11000000,548,19000,7.4
A Warrior's Tail ,5,85,0,114,393,229,7,30000000,35,161,4.1
A.I. Artificial Intelligence ,281,146,14000,3000,238747,6217,2153,100000000,882,11000,7.1
Abandon ,72,99,79,16000,7909,28987,157,25000000,11000,261,4.9
Abduction ,180,106,309,327,65044,561,173,35000000,73,13000,5.0
Aberdeen ,28,106,19,844,2601,846,35,6500000,2,260,7.3
About a Boy ,158,101,129,66,144021,74,391,30000000,5,0,7.1
About Last Night ,90,100,38,833,16979,2800,42,12500000,807,0,6.1
About Schmidt ,217,125,729,442,107557,1556,612,30000000,344,0,7.2
About Time ,274,123,628,565,202341,1595,391,12000000,555,105000,7.8
Abraham Lincoln: Vampire Hunter ,393,105,335,3000,128629,8281,348,69000000,3000,98000,5.9
Absentia ,125,87,59,35,13065,97,136,70000,28,3000,5.8
Absolute Power ,76,121,16000,16000,39529,19139,142,50000000,1000,1000,6.7
Accidental Love ,56,100,737,15000,5006,19068,28,26000000,980,0,4.0
Ace Ventura: Pet Detective ,61,78,293,759,216486,2462,242,12000000,595,0,6.9
Ace Ventura: When Nature Calls ,59,90,176,531,160321,2203,178,30000000,461,0,6.3
Across the Universe ,156,133,278,5000,91860,5405,524,45000000,117,14000,7.4
Across the Universe ,156,133,278,5000,91863,5405,524,45000000,117,14000,7.4
Act of Valor ,216,110,16,93,57996,146,349,12000000,17,15000,6.5
Action Jackson ,35,96,22,1000,7569,5282,65,7000000,841,978,5.2
Adam Resurrected ,75,106,261,30000,3075,31325,31,10000000,744,589,6.3
Adaptation. ,241,81,0,12000,143251,25489,710,19000000,11000,0,7.7
Addicted ,9,106,23,1000,5975,2840,33,5000000,694,0,5.2
Admission ,150,107,80,2000,28573,3004,87,13000000,257,5000,5.7
Adore ,141,112,105,18000,23334,25269,87,16000000,6000,0,6.2
Adulterers ,8,91,0,696,514,1210,1,750000,320,158,4.9
Æon Flux ,178,93,45,9000,110614,10185,532,62000000,460,0,5.5
After ,34,90,4,523,3699,1553,27,650000,385,1000,5.4
After Earth ,349,100,0,10000,158720,14168,744,130000000,943,37000,4.9
After the Sunset ,117,97,420,4000,38298,9814,147,58000000,3000,782,6.3
After.Life ,138,104,0,14000,30836,15860,137,4500000,1000,7000,5.9
Against the Ropes ,76,110,534,865,5917,2972,50,39000000,534,177,5.3
Against the Wild ,11,90,15,900,840,1724,9,2000000,450,326,4.7
Agent Cody Banks ,79,102,91,1000,26755,3037,104,26000000,934,542,5.0
Agent Cody Banks 2: Destination London ,55,100,8,1000,11092,3742,44,26000000,934,167,4.5
Agora ,180,141,448,614,52496,1829,172,70000000,451,29000,7.2
Aimee & Jaguar ,63,125,4,177,5153,333,51,15000000,66,687,7.3
Air Bud ,35,98,188,2000,12942,4277,34,3000000,970,902,5.1
Air Force One ,142,124,249,11000,146134,23603,393,85000000,10000,0,6.4
Airborne ,9,91,38,584,5061,1218,70,2600000,399,0,6.2
Airlift ,39,130,6,85,30977,151,178,4400000,26,10000,8.5
Airplane! ,134,88,104,628,160281,2726,427,3500000,575,16000,7.8
Akira ,150,124,78,6,106160,28,430,1100000000,5,0,8.1
Aladdin ,124,90,63,49000,260939,52970,244,28000000,2000,0,8.0
Albert Nobbs ,222,113,127,3000,19616,4370,98,8000000,415,0,6.7
Albino Alligator ,37,97,18000,10000,6632,13718,69,5000000,1000,225,6.1
Alex & Emma ,73,96,0,372,11520,977,105,30000000,206,625,5.6
Alex Cross ,211,101,357,907,28257,2471,151,35000000,445,11000,5.1
Alex Rider: Operation Stormbreaker ,66,93,13,15000,20201,15638,187,40000000,460,823,5.1
Alexander ,248,206,0,12000,138863,24598,1390,155000000,11000,0,5.5
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",119,81,44,35000,29738,47677,85,28000000,7000,12000,6.2
Alexander's Ragtime Band ,10,106,85,480,1381,1833,29,2000000,392,60,7.0
Alfie ,135,103,14,865,43442,3639,146,60000000,826,0,6.2
Ali ,174,165,0,10000,79186,14196,386,107000000,851,0,6.8
Alias Betty ,38,103,27,71,1439,262,26,50000000,59,26,6.9
Alice in Wonderland ,451,108,13000,40000,306320,79957,736,200000000,25000,24000,6.5
Alice in Wonderland ,451,108,13000,40000,306336,79957,736,200000000,25000,24000,6.5
Alice Through the Looking Glass ,218,113,33,40000,21352,80806,131,170000000,25000,30000,6.4
Alien ,392,116,0,1000,563827,2524,1110,11000000,581,23000,8.5
Alien 3 ,210,145,21000,534,207686,1543,776,50000000,273,0,6.4
Alien Uprising ,20,101,15,844,2753,3132,82,2500000,722,0,3.1
Alien Zone ,8,79,0,246,440,345,21,350000,29,44,4.1
Alien: Resurrection ,223,116,0,1000,170179,3090,656,75000000,720,0,6.3
Aliens ,250,154,0,2000,488537,4228,1076,18500000,626,18000,8.4
Aliens in the Attic ,82,86,13,1000,16580,3423,55,45000000,701,916,5.4
Aliens vs. Predator: Requiem ,211,102,25,1000,92789,4324,998,40000000,741,0,4.7
Alive ,43,120,155,344,38949,2054,112,32000000,242,0,7.1
All About Steve ,128,99,3,14000,33088,16461,143,15000000,982,0,4.8
All About the Benjamins ,40,95,10,706,9693,1421,33,14000000,266,530,5.7
All Hat ,8,89,0,584,436,2668,8,5000000,580,31,5.3
All or Nothing ,81,121,608,149,8161,251,94,9000000,44,484,7.6
All Superheroes Must Die ,42,78,91,407,1771,674,35,20000,91,835,4.0
All the Boys Love Mandy Lane ,233,90,129,935,25951,2170,129,750000,611,2000,5.6
All the King's Men ,127,128,234,14000,20740,27614,178,55000000,12000,0,6.2
All the Pretty Horses ,85,220,0,13000,11388,15006,183,57000000,861,652,5.8
All the Queen's Men ,19,105,24,776,2236,1732,40,25000000,595,193,4.5
All the Real Girls ,88,108,234,11000,9233,12385,126,2500000,552,571,6.9
Allegiant ,181,120,124,6000,44296,12452,144,110000000,5000,12000,5.8
Alleluia! The Devil's Carnival ,10,97,163,636,259,2438,20,500000,456,707,7.4
Almost Famous ,149,152,488,22000,207287,36897,822,60000000,11000,15000,7.9
Aloft ,56,97,43,144,2103,326,11,8000000,63,675,5.3
Aloha ,138,105,488,15000,39778,44037,172,37000000,14000,11000,5.4
Aloha ,138,105,488,15000,39782,44037,172,37000000,14000,11000,5.4
Alone in the Dark ,148,94,892,310,37626,838,521,20000000,294,1000,2.3
Alone with Her ,71,78,0,262,3228,509,31,1000000,163,244,6.1
Along Came a Spider ,133,104,93,11000,59232,17109,317,60000000,2000,0,6.3
Along Came Polly ,108,90,29,22000,106909,24534,268,42000000,923,0,5.9
Along the Roadside ,17,108,0,431,330,1087,2,250000,297,231,7.1
Alpha and Omega ,84,90,0,681,10986,2486,84,20000000,611,0,5.3
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,2,45,24,122,192,236,6,7000000,35,41,6.0
Alvin and the Chipmunks ,131,92,25,1000,57276,2847,146,60000000,718,0,5.2
Alvin and the Chipmunks: Chipwrecked ,91,87,31,1000,22838,4073,56,75000000,1000,0,4.4
Alvin and the Chipmunks: The Road Chip ,70,92,12,35000,9418,38450,53,90000000,1000,0,5.0
Alvin and the Chipmunks: The Squeakquel ,107,88,84,1000,31649,5227,98,75000000,1000,2000,4.5
Always Woodstock ,5,97,5,3000,485,6085,6,2400000,938,107,5.3
Amadeus ,134,180,869,692,270790,3076,549,18000000,670,16000,8.3
Amélie ,242,122,0,326,534262,809,1314,77000000,326,39000,8.4
Amen. ,69,132,333,380,11077,1429,55,103000000,326,0,7.3
America's Sweethearts ,142,102,148,8000,47573,9176,343,48000000,973,881,5.7
American Beauty ,176,122,0,18000,822500,19078,2715,15000000,828,22000,8.4
American Desi ,9,100,0,250,1489,454,40,250000,89,133,6.7
American Dreamz ,153,107,80,2000,22639,5992,217,19000000,2000,300,5.5
American Gangster ,300,176,0,18000,324671,20354,458,100000000,782,0,7.8
American Graffiti ,100,112,0,11000,63839,14954,238,777000,2000,0,7.5
American Heist ,30,94,9,4000,12372,9432,42,10000000,4000,0,5.2
American Hero ,16,86,63,489,2706,1278,23,990000,207,549,4.9
American History X ,162,101,194,1000,782437,3858,1420,7500000,816,35000,8.6
American Hustle ,538,138,737,34000,358416,83012,751,40000000,23000,63000,7.3
American Ninja 2: The Confrontation ,40,90,44,615,6046,872,46,350000,96,583,4.7
American Outlaws ,44,94,10,694,12077,1668,162,35000000,605,433,6.0
American Pie ,145,95,80,3000,315549,8134,789,11000000,1000,0,7.0
American Pie 2 ,142,108,6,3000,200260,7872,431,30000000,1000,0,6.4
American Psycho ,288,102,126,23000,357275,25462,1061,7000000,1000,18000,7.6
American Reunion ,291,113,22,3000,172112,8398,181,50000000,1000,39000,6.7
American Sniper ,490,133,16000,14000,325264,16277,916,58800000,962,112000,7.3
American Wedding ,153,74,58,3000,162331,5713,332,55000000,864,0,6.3
Amigo ,35,124,407,38,463,60,8,1700000,8,594,5.8
Amistad ,77,155,14000,12000,56509,37570,227,36000000,11000,0,7.2
Amnesiac ,30,90,35,216,2157,423,15,3000000,158,421,4.3
Among Giants ,31,93,12,578,811,643,26,2500000,29,108,5.9
Amores Perros ,157,115,0,85,173551,318,361,2000000,79,11000,8.1
Amour ,447,127,0,678,70382,1557,190,8900000,432,33000,7.9
An Alan Smithee Film: Burn Hollywood Burn ,29,86,71,795,2971,2655,85,10000000,474,89,3.5
An American Carol ,45,83,119,885,8560,2907,205,12000000,816,797,4.3
An American Girl Holiday ,6,86,20,563,1338,828,32,200000,194,90,7.2
An American Haunting ,125,91,31,874,22207,1608,747,14000000,613,0,5.0
An American in Hollywood ,3,89,0,196,100,942,3,125000,180,72,7.2
An Education ,278,100,92,3000,112138,4198,237,4500000,766,12000,7.3
An Everlasting Piece ,34,103,272,736,1398,1403,26,14000000,450,132,6.3
An Ideal Husband ,105,97,32,893,12980,2640,132,14000000,692,646,6.9
An Unfinished Life ,107,108,529,11000,24033,11519,152,30000000,329,0,7.0
Anaconda ,119,89,49,2000,73539,3717,271,45000000,902,0,4.6
Anacondas: The Hunt for the Blood Orchid ,94,97,27,601,22243,2730,144,25000000,543,686,4.6
Analyze That ,105,96,11000,22000,69319,22889,138,60000000,394,846,5.9
Analyze This ,145,103,11000,22000,123940,24333,337,30000000,979,0,6.7
Anastasia ,78,94,383,4000,86347,6017,191,50000000,808,0,7.1
Anatomy ,62,103,24,127,10220,163,110,8400000,10,560,6.1
Anchorman 2: The Legend Continues ,272,143,285,11000,131227,28176,346,50000000,8000,41000,6.3
Anchorman: The Legend of Ron Burgundy ,181,98,285,640000,267921,656730,577,26000000,8000,0,7.2
And So It Goes ,107,94,0,712,8895,1673,48,18000000,341,3000,5.7
And Then Came Love ,6,90,29,1000,443,2504,4,989000,569,42,4.8
Anderson's Cross ,8,98,3,500,95,1545,7,300000,317,7,7.2
Angel Eyes ,106,102,43,308,19686,1440,180,38000000,285,689,5.6
Angela's Ashes ,99,145,317,876,16995,1282,163,25000000,219,0,7.3
Angels & Demons ,298,146,2000,15000,207839,16948,435,150000000,745,0,6.7
Animal House ,94,109,644,1000,90177,3468,257,3000000,783,0,7.6
Anna and the King ,91,148,72,582,31080,804,217,75000000,103,0,6.7
Annabelle ,271,99,40,1000,81699,2323,291,6500000,421,45000,5.4
Annie ,176,118,87,2000,24735,4796,213,65000000,1000,16000,5.2
Annie Get Your Gun ,21,107,24,277,3167,731,90,3768785,244,456,7.0
Annie Hall ,154,93,11000,11000,192940,12691,491,4000000,636,0,8.1
Anomalisa ,328,90,26,1000,31489,1442,140,8000000,442,0,7.3
Anonymous ,288,130,776,898,34488,2452,136,30000000,584,15000,6.9
Another Earth ,242,92,135,574,71387,1303,228,100000,399,21000,7.0
Another Happy Day ,46,119,8,3000,3297,10984,42,4000000,3000,798,6.0
Another Year ,248,129,608,1000,23629,2265,141,10000000,579,0,7.3
Ant-Man ,517,117,235,2000,313866,5730,549,130000000,2000,61000,7.4
Antarctic Edge: 70° South ,5,72,0,0,123,0,2,150000,0,215,7.0
Antarctica: A Year on Ice ,31,91,9,53,2482,86,16,1000000,24,0,7.6
Antibirth ,10,94,0,1000,63,2406,2,3500000,677,89,6.3
Antitrust ,123,109,29,779,25558,1297,221,30000000,240,0,6.1
Antiviral ,188,108,43,691,9356,1962,47,3200000,480,0,5.7
Antwone Fisher ,121,117,18000,18000,26493,20456,159,12500000,638,0,7.3
Antz ,131,83,35,13000,124641,25788,289,105000000,11000,0,6.6
Any Given Sunday ,171,156,0,14000,97047,20761,452,55000000,2000,0,6.8
Anything Else ,128,108,11000,11000,25165,14843,155,18000000,944,827,6.4
Anywhere But Here ,36,114,61,20000,14786,22040,103,23000000,797,638,6.1
Apocalypse Now ,261,289,0,11000,450676,25313,983,31500000,10000,19000,8.5
Apocalypto ,283,139,0,708,236000,848,1043,40000000,78,14000,7.8
Apollo 13 ,159,140,2000,15000,208817,17171,296,62000000,968,5000,7.6
Apollo 18 ,228,86,17,520,47227,1520,323,5000000,270,0,5.2
April Fool's Day ,96,89,17,690,10624,1160,125,5000000,190,0,6.2
Aqua Teen Hunger Force Colon Movie Film for Theaters ,82,86,8,2000,12160,3071,73,750000,424,307,6.9
Aquamarine ,66,104,20,836,30462,3963,150,12000000,826,0,5.3
Arachnophobia ,74,103,155,687,50389,1440,136,31000000,151,0,6.3
Arbitrage ,288,107,27,664,41574,2440,145,12000000,591,0,6.6
Archaeology of a Woman ,3,94,0,433,15,1112,3,200000,375,66,8.1
Are We There Yet? ,75,95,32,826,22679,3558,149,32000000,642,773,4.6
Area 51 ,56,91,110,46,7888,117,55,5000000,21,0,4.2
Argo ,656,130,0,1000,452465,3133,695,44500000,660,89000,7.7
Arlington Road ,155,117,89,12000,69980,13576,591,21500000,541,0,7.2
Armageddon ,167,153,0,13000,322395,26029,1171,140000000,12000,11000,6.6
Armored ,107,88,190,137000,26236,137712,110,27000000,459,0,5.7
Army of Darkness ,221,88,0,901,128850,3913,604,13000000,888,10000,7.6
Arn: The Knight Templar ,34,270,5,908,18041,2762,54,25000000,690,0,6.6
Around the World in 80 Days ,188,120,153,1000,68720,3175,191,110000000,1000,0,5.8
Around the World in 80 Days ,188,120,153,1000,68722,3175,191,110000000,1000,0,5.8
Aroused ,16,66,4,502,502,1796,9,150000,366,207,5.3
Arthur and the Invisibles ,101,94,0,563,25843,683,64,86000000,80,941,6.0
Arthur Christmas ,190,97,6,1000,35446,2707,78,100000000,579,0,7.1
"As Above, So Below ",196,93,66,1000,49948,1410,211,5000000,200,14000,6.1
As Good as It Gets ,156,139,274,625,224671,1474,470,50000000,440,11000,7.7
As It Is in Heaven ,34,133,10,690,13543,774,94,25000000,24,0,7.6
Ask Me Anything ,8,100,12,529,7870,2468,64,950000,413,884,6.0
Assassins ,61,132,503,45000,62981,58528,84,50000000,13000,0,6.3
Assault on Precinct 13 ,152,109,25,954,65979,3148,220,20000000,739,999,6.3
Asterix at the Olympic Games ,33,116,0,936,20567,1609,36,78000000,276,291,5.1
Astro Boy ,138,94,42,12000,25681,23365,77,65000000,9000,0,6.3
At First Sight ,55,128,34,978,11232,3821,106,60000000,886,0,5.9
Atlantis: The Lost Empire ,146,95,21,12000,72591,15237,289,120000000,802,0,6.8
Atlas Shrugged II: The Strike ,23,111,60,823,5612,5262,122,10000000,759,0,5.5
Atlas Shrugged: Who Is John Galt? ,12,99,0,578,1900,3382,56,5000000,435,0,4.4
Atonement ,316,123,456,19000,192930,20499,581,30000000,1000,12000,7.8
Attack the Block ,399,88,115,1000,82331,2011,297,13000000,305,18000,6.6
August Rush ,148,114,59,49000,87331,50927,364,30000000,702,18000,7.5
August: Osage County ,322,121,53,19000,67797,39690,285,25000000,11000,30000,7.3
Austin Powers in Goldmember ,194,94,116,645,162909,2725,795,63000000,522,0,6.2
